brand,name,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty (year),Touchscreen,msoffice,lowest_price,highest_price,discount,star_rating,ratings,reviews
Avita,Cosmos,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,13,0,No,No,Rp1.749.000,Rp2.349.000,25,3.6,1120,196
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,13,0,No,No,Rp1.959.000,Rp2.132.500,8,3.6,1894,256
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,Rp1.999.000,Rp2.799.000,28,3.7,1153,159
HP,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,Rp2.090.000,Rp2.282.500,8,3.9,1185,141
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,13,0,No,No,Rp2.149.000,Rp2.799.000,23,3.7,1153,159
Lenovo,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,13,0,No,No,Rp2.189.600,Rp2.589.600,0,3.9,219,18
ASUS,EeeBook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,14,0,No,No,Rp2.199.000,Rp2.599.000,15,3.5,31,3
ASUS,EeeBook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,15.6,0,No,No,Rp2.299.000,Rp2.799.000,17,0,0,0
ASUS,Celeron,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,Rp2.399.000,Rp2.699.000,11,3.8,15279,1947
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,13,0,No,No,Rp2.499.000,Rp3.279.000,23,3.7,63,12
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,Rp2.499.000,Rp3.349.000,25,3.7,1657,234
Avita,PURA,AMD,APU Dual,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13,0,No,No,Rp2.499.000,Rp3.349.000,25,3.7,1657,234
HP,Athlon,AMD,Athlon Dual,10th,32 GB,DDR4,32 GB,0 GB,Windows,32-bit,4,Casual,15.6,0,No,No,Rp2.689.900,Rp2.766.800,2,0,0,0
ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,13,0,No,No,Rp2.699.000,Rp2.899.000,6,0,0,0
ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,0,No,No,Rp2.989.000,Rp3.399.000,12,4,7,0
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,Rp3.179.900,Rp3.699.900,14,0,0,0
